adult,backdrop_path,genre_ids/0,genre_ids/1,genre_ids/2,genre_ids/3,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,genre_ids/4,genre_ids/5
false,https://image.tmdb.org/t/p/w300/a9jZrU7LJk6mAUjmkbEmTiC52l0.jpg,35,10751,18,,425001,en,The War with Grandpa,"Peter is thrilled that his Grandpa is coming to live with his family. That is, until Grandpa moves into Peter's room, forcing him upstairs into the creepy attic. And though he loves his Grandpa, he wants his room back - so he has no choice but to declare war.",202.542,https://image.tmdb.org/t/p/w300/yUFbPtWeDbVR3zmqshOaL5lScyo.jpg,2020-08-27,The War with Grandpa,false,6.4,212,,
false,https://image.tmdb.org/t/p/w300/cFVgXPmF8UMGH67roYd4e3QaAHP.jpg,878,28,80,,655431,ja,サイコパス 3 FIRST INSPECTOR,"Inspector Kei Mikhail Ignatov finds himself involved with an organization named Bifrost with the possibility of freeing his wife if he betrays Unit One. Koichi Azusawa coordinates an assault on the Public Safety Bureau tower using his hacker Obata, locking down the building and kidnapping Inspector Arata Shindo. Azusawa demands that governor Karina Komiya resign from her position.",191.511,https://image.tmdb.org/t/p/w300/m2RzGRMbdMUcp8S3PYtlPpHa83g.jpg,2020-03-27,Psycho-Pass 3: First Inspector,false,7.5,15,,
false,,,,,,749336,en,Star Wars: Wrath of the Mandalorian,"Years after the Clone Wars end, Darth Vader sends bounty hunter Boba Fett to Kashyyyk to track down the last of the Jedi. Fett, motivated by revenge for his father's death, proves effective - but he soon finds out a terrible truth about Vader while on the hunt that gives him a change of heart.",193.199,https://image.tmdb.org/t/p/w300/ksil1FjB7AfNk34LAti0636pyTd.jpg,2008-07-06,Star Wars: Wrath of the Mandalorian,false,7.1,17,,
false,https://image.tmdb.org/t/p/w300/2it7SlRcp5UE0G38nL6oLMuqcAx.jpg,27,,,,681429,es,Cuidado con lo que deseas,"Pamela is an eight-year-old girl who loves horror movies and fairy tales. When his uncle gives her away a doll named ""Hellequin"" as a birthday gift, a tale of betrayal begins to unfold before her eyes.",185.891,https://image.tmdb.org/t/p/w300/lG6Wx5tWOEHkOuexEvNYha3ofvM.jpg,2020-04-24,Be Careful What You Wish For,false,7,58,,
false,https://image.tmdb.org/t/p/w300/4dtbvoAaqiM3fVwzdffLxUdAiY6.jpg,10751,35,14,,8871,en,How the Grinch Stole Christmas,"Inside a snowflake exists the magical land of Whoville. In Whoville, live the Whos, an almost mutated sort of Munchkin-like people. All the Whos love Christmas, yet just outside of their beloved Whoville lives the Grinch. The Grinch is a nasty creature that hates Christmas, and plots to steal it away from the Whos, whom he equally abhors. Yet a small child, Cindy Lou Who, decides to try befriending the Grinch.",217.283,https://image.tmdb.org/t/p/w300/1WZbbPApEivA421gCOluuzMMKCk.jpg,2000-11-17,How the Grinch Stole Christmas,false,6.7,4946,,
false,https://image.tmdb.org/t/p/w300/vam9VHLZl8tqNwkp1zjEAxIOrkk.jpg,10751,14,10770,,671583,en,Upside-Down Magic,"Nory and her best friend Reina enter the Sage Academy for Magical Studies, where Nory’s unconventional powers land her in a class for those with wonky, or “upside-down,” magic. Undaunted, Nory sets out to prove that that upside-down magic can be just as powerful as right-side-up.",192.112,https://image.tmdb.org/t/p/w300/h9vTJ78h0SASYUxg4jV0AQ00oF2.jpg,2020-07-31,Upside-Down Magic,false,7.8,85,,
false,https://image.tmdb.org/t/p/w300/htBUhLSS7FfHtydgYxUWjL3J1Q1.jpg,16,12,10751,14,560050,en,Over the Moon,"In this animated musical, a girl builds a rocket ship and blasts off, hoping to meet a mythical moon goddess.",189.232,https://image.tmdb.org/t/p/w300/lQfdytwN7eh0tXWjIiMceFdBBvD.jpg,2020-10-16,Over the Moon,false,7.6,561,,
false,https://image.tmdb.org/t/p/w300/gkvOmVXdukAwpG8LjTaHo2l2cWU.jpg,27,9648,,,571384,en,Come Play,"A lonely young boy feels different from everyone else. Desperate for a friend, he seeks solace and refuge in his ever-present cell phone and tablet. When a mysterious creature uses the boy’s devices against him to break into our world, his parents must fight to save their son from the monster beyond the screen.",190.034,https://image.tmdb.org/t/p/w300/e98dJUitAoKLwmzjQ0Yxp1VQrnU.jpg,2020-10-28,Come Play,false,6.5,140,,
false,https://image.tmdb.org/t/p/w300/4br4B8C0SRIYcKHUgoaOlGo50MU.jpg,27,,,,575088,ru,Яга. Кошмар тёмного леса,"The young family who moved to a new apartment on the outskirts of the city. The nanny hired by them for the newborn daughter quickly gained confidence. However, the older boy, Egor, talks about the frightening behavior of a woman, but his parents do not believe him. The surveillance cameras installed by the father for comfort only confirm everything is in order. Then one day, Egor, returning home, finds no trace of either the nanny or the little sister, and the parents are in a strange trance and do not even remember that they had a daughter. Then Egor, together with his friends, goes in search, during which it turns out that the nanny is an ancient Slavic demon, popularly known as Baba Yaga.",195.542,https://image.tmdb.org/t/p/w300/8m5HTXzwewlfXhtZtLlLts53YTW.jpg,2020-02-27,Baba Yaga: Terror of the Dark Forest,false,6.6,68,,
false,https://image.tmdb.org/t/p/w300/ySHlkHDbXztjdjRJ0pZN7FXRnaW.jpg,16,12,28,14,631132,ja,ゴブリンスレイヤー -GOBLIN'S CROWN-,"Goblin Slayer and his party head up to the snowy mountains in the north after receiving that request from the Sword Maiden to find any information on the Noble Fencer that disappeared after leaving to slay some goblins. A small village gets attacked, they encounter a mysterious chapel, and something about how these goblins are acting bothers the Goblin slayer.  In order to save the captured Noble Fencer, the Goblin Slayer and his party head to an ancient fortress covered in snow to face off with a powerful foe and a horde of goblins!",179.277,https://image.tmdb.org/t/p/w300/oyDaF4za9C9GxfYSyZUmj2aZGJT.jpg,2020-02-01,Goblin Slayer: Goblin's Crown,false,7.9,86,,
